,person_dim_id,21-5c,5-13c,13-21c,21-5s,5-13s,13-21s
2402,1712436001,0,0,6,0,0,3
2403,1712436002,0,0,6,0,0,3
2404,1712437701,0,1,3,0,0,0
2405,1712437702,0,1,2,0,0,0
2406,1712437703,0,1,3,0,0,0
2407,1712441101,0,61,38,0,14,13
2408,1712441102,0,7,5,0,0,0
2409,1712445801,0,1,1,0,0,0
2410,1712445802,0,1,1,0,0,0
2411,1712446401,1,1,2,0,0,0
2412,1712446601,0,1,1,0,0,0
2413,1712450001,3,2,0,0,0,0
2414,1712454301,0,1,1,0,0,0
2415,1712456501,1,1,0,0,0,0
2416,1712456502,1,2,2,0,0,0
2417,1712457301,0,3,1,0,0,0
2418,1712458301,0,3,1,0,2,0
2419,1712458801,0,3,1,0,0,2
2420,1712458802,0,2,2,0,0,2
2421,1712459701,0,2,4,0,0,0
2422,1712461701,1,1,0,0,0,0
2423,1712462501,0,1,3,0,0,0
2424,1712462502,0,6,0,0,4,0
2425,1712462801,0,5,13,0,2,0
2426,1712463701,1,3,2,0,0,0
2427,1712468801,0,1,1,0,2,0
2428,1712468802,1,7,7,0,0,0
2429,1712468803,0,1,1,0,0,2
2430,1712471301,0,1,1,0,0,2
2431,1712472201,0,0,1,0,0,0
2432,1712474601,0,2,0,0,1,6
2433,1712474602,0,1,1,0,0,0
2434,1712474603,0,0,0,0,1,5
2435,1712474604,0,0,0,0,1,5
2436,1712475401,0,2,0,0,0,0
2437,1712475402,0,5,2,0,0,0
2438,1712476501,2,2,1,0,0,3
2439,1712481301,0,2,3,0,0,0
2440,1712485401,0,2,0,0,1,0
2441,1712485402,0,2,0,0,1,0
2442,1712485403,0,2,0,0,1,0
2443,1712485404,0,2,0,0,1,0
2444,1712486101,1,0,1,0,0,0
2445,1712486102,0,1,1,0,0,0
2446,1712486201,0,2,1,0,0,0
2447,1712486202,0,2,2,0,3,2
2448,1712486203,0,1,1,0,0,2
2449,1712486204,0,1,1,0,0,0
2450,1712487501,0,1,3,0,0,0
2451,1712493901,0,1,1,0,0,0
2452,1712493902,0,2,2,0,0,0
2453,1712493903,0,1,2,0,0,0
2454,1712494301,0,5,2,0,0,0
2455,1712494302,0,3,5,0,2,0
2456,1712494401,0,1,1,0,0,0
2457,1712495002,0,1,1,0,0,0
2458,1712495003,0,1,1,0,0,0
2459,1712496201,0,1,1,0,0,0
2460,1712496202,0,1,1,0,0,0
2461,1712497201,4,6,5,2,1,2
2462,1712499601,0,1,1,0,2,0
2463,1712505601,0,1,1,0,0,0
2464,1712510201,0,5,1,0,3,2
2465,1712511401,0,3,2,0,1,0
2466,1712511601,1,0,4,0,0,0
2467,1712515001,0,4,0,0,0,0
2468,1712524901,0,2,2,0,0,0
2469,1712525901,0,1,6,0,0,0
2470,1712526901,0,1,1,0,0,0
2471,1712526902,0,1,1,0,0,0
2472,1712527101,0,1,5,0,0,0
2473,1712527103,0,1,3,0,0,0
2474,1712527104,0,0,2,0,1,1
2475,1712528601,0,3,1,0,0,2
2476,1712528602,0,1,4,0,2,4
2477,1712529701,0,0,4,0,0,0
2478,1712530401,0,1,1,0,0,0
2479,1712530402,0,1,5,0,0,0
2480,1712530403,0,1,3,0,0,0
2481,1712530404,0,1,5,0,0,0
2482,1712530405,0,0,4,0,0,0
2483,1712532701,0,2,2,0,1,0
2484,1712533301,0,9,21,0,1,5
2485,1712533302,0,12,13,0,3,0
2486,1712533303,0,6,14,0,1,2
2487,1712533304,0,9,21,0,1,5
2488,1712539101,0,4,1,0,0,0
2489,1712539102,0,1,1,0,0,0
2490,1712540701,0,1,3,0,0,0
2491,1712540702,1,0,1,0,0,0
2492,1712540703,0,1,1,0,0,1
2493,1712541001,0,3,4,0,1,2
2494,1712541901,0,2,2,0,0,0
2495,1712543901,1,1,0,0,0,2
2496,1712544301,0,1,4,0,0,0
2497,1712546501,0,0,2,0,3,1
2498,1712546502,0,1,1,0,0,0
2499,1712547201,0,3,2,1,0,1
2500,1712547501,0,3,2,0,0,0
2501,1712547502,0,6,2,0,0,1
2502,1712547601,0,1,4,0,0,0
2503,1712547602,0,3,2,0,0,0
2504,1712547701,0,0,0,0,1,1
2505,1712548301,0,0,0,0,2,0
2506,1712548302,0,1,1,0,0,0
2507,1712548801,1,1,3,0,0,0
2508,1712548802,1,1,3,0,0,0
2509,1712550401,0,8,7,0,0,3
2510,1712550402,0,6,14,0,0,5
2511,1712551401,0,0,2,0,0,0
2512,1712551402,0,1,3,0,0,0
2513,1712551601,1,6,6,0,0,6
2514,1712552901,0,1,3,0,0,0
2515,1712552902,0,1,1,0,0,0
2516,1712553501,1,1,5,1,0,0
2517,1712554601,0,1,2,0,0,0
2518,1712555401,0,1,1,0,0,0
2519,1712555402,0,1,1,0,0,0
2520,1712555404,0,0,0,0,0,2
2521,1712557601,1,7,11,0,2,2
2522,1712557602,1,9,14,0,1,0
2523,1712558901,0,1,1,0,0,0
2524,1712559002,0,2,1,0,0,0
2525,1712559003,0,2,0,0,0,2
2526,1712561702,0,1,2,0,0,0
2527,1712565301,3,13,16,0,0,2
2528,1712565302,1,27,16,1,0,1
2529,1712566401,0,1,4,0,0,1
2530,1712567601,0,1,1,0,3,0
2531,1712569901,0,6,10,0,0,7
2532,1712569902,0,11,20,0,2,5
2533,1712569903,0,6,15,0,0,3
2534,1712571902,0,1,1,0,0,0
2535,1712572901,0,2,5,0,0,0
2536,1712573101,0,2,1,0,0,2
2537,1712573102,0,2,1,0,0,0
2538,1712573301,0,1,2,0,0,1
2539,1712573302,0,3,1,0,0,0
2540,1712574801,0,0,2,0,0,0
2541,1712576501,0,3,2,0,0,1
2542,1712580301,0,0,2,0,0,0
2543,1712580302,0,2,0,0,0,0
2544,1712583001,0,1,1,3,0,3
2545,1712583401,0,1,1,0,0,0
2546,1712587501,0,0,2,0,0,0
2547,1712587502,0,1,3,0,0,0
2548,1712587503,0,0,2,0,0,0
2549,1712587504,0,1,3,0,0,0
2550,1712587505,0,1,3,0,0,0
2551,1712588301,0,5,3,0,0,0
2552,1712588501,0,0,12,0,0,18
2553,1712588901,1,2,1,0,0,0
2554,1712588902,0,2,2,0,0,0
2555,1712588903,0,1,1,0,0,0
2556,1712594601,0,1,1,0,1,1
2557,1712594602,0,3,2,0,0,0
2558,1712594603,0,1,1,0,0,0
2559,1712595301,1,2,3,0,0,0
2560,1712595302,0,3,1,0,0,0
2561,1712595501,7,8,21,0,1,7
2562,1712595502,1,0,14,0,0,0
2563,1712595503,3,5,7,0,0,0
2564,1712595504,1,5,11,0,0,0
2565,1712595505,4,0,13,0,0,5
2566,1712599701,0,1,2,0,0,2
2567,1712600201,0,1,3,0,2,2
2568,1712600202,0,1,1,0,0,0
2569,1712601301,1,5,16,0,1,5
2570,1712602701,0,0,2,0,0,0
2571,1712602702,0,1,3,0,0,0
2572,1712602703,0,3,1,0,0,0
2573,1712604201,1,1,0,0,0,0
2574,1712604202,0,2,0,0,1,0
